next_stop_distance,total_waiting_time,wifi_count,honks,rsi,Signal,bus_stop,Turn,zone_highway,zone_market_place,zone_normal_city,time_level_1,time_level_2,time_level_3,time_level_4,Population_density_dense,Population_density_medium,Population_density_sparse,Weekend/day_Week-day,Weekend/day_Week-end,Congestion
26.9853333509,29,14,0,8.49533077777778,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
46.9411129538,3,10,0,7.5600966375,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
18.2732209972,3,2,0,8.8712235,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
43.0987353202,21,2,0,8.64645793902439,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
21.2160501789,39,7,0,9.1498849390625,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1
445.696369266,8,3,0,8.93953458,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
990.800173768,2,0,0,8.388392,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1
2806.9469444,7,7,0,5.88581235333334,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1
717.646384391,7,0,0,7.26431443333333,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0
641.508645434,3,3,0,7.7034510875,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1
468.970801943,3,3,0,8.2078563,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0
300.157197751,24,7,0,7.06110590791667,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1
109.868607969,2,30,0,8.67170716666667,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0
295.206572303,1,0,0,10.1365585,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0
470.415875354,1,0,0,8.2116165,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0
576.580182938,21,10,0,8.98753456451613,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0
432.458030398,25,13,0,7.55544587297297,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0
645.847516349,1,0,0,8.459419,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0
345.011945386,1,0,0,9.4230803,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0
231.986257753,2,0,0,7.86757506,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0
161.036724147,1,14,0,8.91072825,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0
410.763497767,4,6,0,8.3421048,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0
103.826684181,1,0,0,8.375618,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0
421.61519196,1,7,0,6.5703964,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0
253.807530555,1,0,0,7.5639878,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0
160.799068212,1,0,0,8.95381925,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0
573.435709043,3,0,0,8.2696761,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0
573.435709043,1,2,0,9.6218035,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0
51.0157906483,50,10,42,9.14026996607143,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1
31.2921159517,631,19,275,9.69339565434781,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0
107.598622089,16,3,18,9.95651343333334,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0
27.3826921639,33,9,56,8.02647349076923,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0
340.597350234,6,7,6,8.65095513,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0
34.589698054,4,8,15,8.478093695,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0
648.083562309,1,0,2,8.603073,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0
217.036211334,1,0,0,9.1405715,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0
47.6183385436,25,2,3,8.84471811860465,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1
67.0263165389,9,3,17,7.79488683529412,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1
949.336512871,11,4,20,8.18016709090909,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0
2267.53489485,1,0,0,8.3026047,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0
1508.39195774,1,4,2,9.617012,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0
91.8625599972,1,0,2,9.551178,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
156.441989151,20,17,17,9.2293247452381,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1
219.595954291,3,15,4,7.85779034285714,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
407.094180001,31,36,26,8.9437940852459,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0
363.960449705,6,77,17,8.71027622222222,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0
106.572453285,1,0,2,9.23753375,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
276.84167548,14,5,3,8.9626494375,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0
33.0840124024,1,0,1,8.8784025,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
518.077752827,4,9,5,9.199225,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0
651.026803289,1,0,1,9.594269,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0
156.966026542,1,7,1,8.26070425,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0
1433.14943835,1,0,1,7.4203338,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0
1433.14943835,2,4,0,7.480190275,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0
71.9629983494,3,0,0,8.91388222727273,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0
341.923769797,2,2,0,6.3660888,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0
1101.46843858,4,0,0,7.98967884,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0
155.405330541,4,7,0,6.887387115,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0
254.968753343,14,6,0,8.34080576666667,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0
472.235896152,1,0,0,8.686867,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0
238.906609537,2,0,0,7.84650686666667,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
407.450177752,1,0,0,7.841713,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
422.790653502,2,0,0,7.93987546666667,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0
30.084672924,3,0,0,1.98749286833333,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0
92.6334987637,1,0,0,9.310562,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1
251.479329183,1,0,0,11.44738,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0
65.1305292296,1,0,0,9.0687485,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0
237.508193369,3,18,0,7.69726311666667,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0
49.857367415,1,0,0,10.092262,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
23.7602661274,7,11,0,9.39615183333334,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
46.3990491471,228,19,0,9.09690247774193,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0
102.473294021,1,0,0,7.68489835,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
106.615334354,1,0,0,8.410339,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1
81.3485418379,1,0,0,7.9350893,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
1820.57343412,10,11,0,8.74161433333333,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
1858.16877507,2,0,0,5.35852816666667,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
839.524916208,2,0,0,7.488973,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0
413.671380888,1,0,0,7.4035797,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1
46.1179018777,6,5,0,8.64505196666667,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0
845.891950176,1,0,0,8.8736115,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1
383.806599261,2,1,0,1.76283876,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1
383.806599261,2,0,0,8.4434559,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1
137.108044011,1,0,0,8.123898,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0
25.9493416797,3,4,0,8.123898,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0
1263.73434841,101,7,0,8.123898,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0
53.2136902364,2,3,0,8.123898,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0
367.057919749,2,1,0,8.123898,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0
874.211697494,1,0,0,8.123898,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1
1717.91468283,9,1,0,8.123898,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0
238.335617111,1,0,0,8.123898,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
743.057639231,2,0,0,8.123898,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0
650.910486303,2,0,0,8.123898,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1
181.941990161,4,11,0,8.123898,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
246.594256366,1,0,0,8.123898,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
15.9794539876,30,19,0,8.123898,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
172.592273824,2,5,0,8.123898,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1
216.854243213,2,18,0,8.123898,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
